sku,hd_url,hd_price,wayfair url,wayfair price,menards url,menard price,overstock url,overstock price,houzz url,houzz price
OA900BN-A,,,,,,,,,http://www.houzz.com/viewSpace/34813714/lid=20439785,"$1,561.00"
KAZ3218-040,http://www.homedepot.com/p/ANZZI-MOORE-Undermount-Stainless-Steel-32-in-Double-Bowl-Kitchen-Sink-and-Faucet-Set-with-Harbour-Faucet-in-Polished-Chrome-KAZ3218-040/206946951,$477.00,https://www.wayfair.com/show_detail.php?sku=ANZI1466,$477.00,http://www.menards.com/main/p-1482823193325.html,$477.00,https://www.overstock.com/Home-Garden/Anzzi-Moore-Stainless-Steel-32-inch-Undermount-Double-Bowl-Kitchen-Sink-With-Harbour-Polished-Chrome-Faucet/13776843/product.html?keywords=20429454&searchtype=Header,$477.00,http://www.houzz.com/viewSpace/78604146/lid=61455743,$353.33
FT-AZ013,http://www.homedepot.com/p/ANZZI-Dualita-5-6-ft-Acrylic-Center-Drain-Freestanding-Bathtub-in-Glossy-Black-FT-AZ013/206730305,"$1,695.00",https://www.wayfair.com/show_detail.php?sku=ANZI1498,"$1,695.00",http://www.menards.com/main/p-1482823192929.html,"$1,695.00",https://www.overstock.com/Home-Garden/ANZZI-Dualita-5.6-foot-Glossy-Black-Acrylic-Center-Drain-Freestanding-Bathtub/13797254/product.html?keywords=20447131&searchtype=Header,"$1,726.61",http://www.houzz.com/viewSpace/78573498/lid=61429399,"$1,255.56"
OA900CH-A,,,,,,,,,http://www.houzz.com/viewSpace/34813718/lid=20439788,"$1,536.00"
OA900GD-A,,,,,,,,,http://www.houzz.com/viewSpace/34813722/lid=20439793,"$1,561.00"
OA900OB-A,,,,,,,,,http://www.houzz.com/viewSpace/34813809/lid=20439871,"$1,561.00"
IN600BN-A-par,,,,,,,,,http://www.houzz.com/viewSpace/35110104/lid=20704479,"$1,498.00"
FR-AZ274,http://www.homedepot.com/p/ANZZI-Ahri-Series-2-Handle-Deck-Mount-Roman-Tub-Faucet-with-Handheld-Sprayer-in-Polished-Chrome-FR-AZ274/206730276,$330.00,https://www.wayfair.com/show_detail.php?sku=ANZI1152,$330.00,http://www.menards.com/main/p-1482823192927.html,$330.00,,,http://www.houzz.com/viewSpace/78598603/lid=61451532,$244.44
OA900BN-par,,,,,,,,,http://www.houzz.com/viewSpace/35110217/lid=20704594,"$1,346.00"
FT-AZ302,http://www.homedepot.com/p/ANZZI-Cantor-Series-4-9-ft-Acrylic-Clawfoot-Non-Whirlpool-Bathtub-in-White-FT-AZ302/207192819,"$2,499.00",https://www.wayfair.com/show_detail.php?sku=ANZI1536,"$2,499.00",http://www.menards.com/main/p-1482823192918.html,"$2,499.00",,,http://www.houzz.com/viewSpace/78575644/lid=61430916,"$1,851.11"
KAZ3218-095,http://www.homedepot.com/p/ANZZI-MOORE-Undermount-Stainless-Steel-32-in-Double-Bowl-Kitchen-Sink-and-Faucet-Set-with-Harbour-Faucet-in-Brushed-Nickel-KAZ3218-095/206946952,$500.00,https://www.wayfair.com/show_detail.php?sku=ANZI1466,$500.00,http://www.menards.com/main/p-1482823193350.html,$500.00,https://www.overstock.com/Home-Garden/Anzzi-Moore-Undermount-Brushed-Nickel-Stainless-Steel-32-inch-Double-Bowl-Kitchen-Sink-and-Faucet-Set-with-Harbour-Faucet/13750532/product.html?keywords=20407018&searchtype=Header,$500.00,http://www.houzz.com/viewSpace/78604015/lid=61455616,$370.37
FT-AZ014,http://www.homedepot.com/p/ANZZI-Dualita-5-8-ft-Acrylic-Center-Drain-Freestanding-Bathtub-in-Glossy-Black-FT-AZ014/206730303,"$1,595.00",https://www.wayfair.com/show_detail.php?sku=ANZI1499,"$1,595.00",http://www.menards.com/main/p-1482823192908.html,"$1,595.00",https://www.overstock.com/Home-Garden/ANZZI-Dualita-5.8-foot-Glossy-Black-Acrylic-Center-Drain-Freestanding-Bathtub/13797256/product.html?keywords=20447133&searchtype=Header,"$1,641.37",http://www.houzz.com/viewSpace/78573599/lid=61429496,"$1,181.48"
IN600BN-A,,,,,,,,,http://www.houzz.com/viewSpace/34813695/lid=20439767,"$1,498.00"
OA900BN,,,,,,,,,http://www.houzz.com/viewSpace/34813357/lid=20439474,"$1,346.00"
KAZ3218-042,http://www.homedepot.com/p/ANZZI-MOORE-Undermount-Stainless-Steel-32-in-Double-Bowl-Kitchen-Sink-and-Faucet-Set-with-Singer-Faucet-in-Brushed-Nickel-KAZ3218-042/206946953,$477.00,https://www.wayfair.com/show_detail.php?sku=ANZI1467,$477.00,http://www.menards.com/main/p-1482823193335.html,$477.00,https://www.overstock.com/Home-Garden/Anzzi-Moore-Undermount-Stainless-Steel-32-inch-Double-Bowl-Kitchen-Sink-and-Faucet-Set-with-Singer-Faucet-in-Brushed-Nickel/13776842/product.html?keywords=20429453&searchtype=Header,$477.00,http://www.houzz.com/viewSpace/78604021/lid=61455623,$353.33
LSAZ060-096,http://www.homedepot.com/p/ANZZI-Schnell-Series-Deco-Glass-Vessel-Sink-in-Lustrous-Red-and-Black-with-Enti-Faucet-in-Polished-Chrome-LSAZ060-096/206951493,$219.00,https://www.wayfair.com/show_detail.php?sku=ANZI1659,$219.00,http://www.menards.com/main/p-1482823193708.html,$219.00,https://www.overstock.com/Home-Garden/ANZZI-Schnell-Series-Lustrous-Red-and-Black-Deco-Glass-Vessel-Sink-with-Enti-Polished-Chrome-Faucet/13777663/product.html?keywords=20430318&searchtype=Header,$219.00,http://www.houzz.com/viewSpace/78602472/lid=61454435,$162.22
